age,gender,faculty_name,teaching_experience,ub_profile,teaching_mode,ia_knowledge,ia_normative_ub,ia_normative_read,interest_knowledge_teaching_and_research,knowledge_in_evaluation,knowledge_in_teaching,knowledge_in_material_creation,knowledge_in_research,uses_ia_in_teaching,uses_ia_in_research,uses_ia_in_creation,frequency_ia_teaching,frequency_ia_research,asks_students_to_use_ia,students_usage_purpose,detected_inappropriate_ia_use,made_changes_due_to_ia,students_ia_opinions,importance_teaching,importance_research,ia_student_agreement,faculty_ia_strategy,perceived_ia_impact,feelings_about_ia,received_training,interest_in_ia_training
59,Femení,Belles Arts,Menys de 5 anys,Associat/da,Únicament presencial,Poc coneixement,No hi ha una normativa o orientació,No,Tinc poc interès,Molt en desacord,En desacord,En desacord,Molt d'acord,Crear activitats d'aprenentatge,No en faig servir,Textos,Diàriament,Setmanalment,No,altres ...,No,Sí,Usen les IA com expert a qui preguntar,5,5,1,altres ...,Un fet positiu,"Abandonat/da, sense suport",No tinc cap formació,6
58,Altres,Belles Arts,Entre 5 i 10 anys,Col·laborador/a permanent doctor/a,Presencial i virtual,Poc coneixement,Sí hi ha una normativa o orientació,Si,Tinc molt d'interès,D'acord,Molt d'acord,D'acord,D'acord,Avaluar tasques,Anàlisi de dades,Imatges,Diàriament,Diàriament,No,Usen les IA com expert a qui preguntar,No,No,Usen les IA com expert a qui preguntar,7,9,1,Evitar-les,Un fet positiu,"Abandonat/da, sense suport",M'he autoformat,2
48,No binari,Belles Arts,Més de 20 anys,Lector/a,Presencial i virtual,Bon coneixement,Desconec si hi ha una normativa o orientació,Si,Tinc molt d'interès,En desacord,Molt d'acord,D'acord,D'acord,Crear materials docents,Visualització de dades,No en faig servir,Setmanalment,Mai,Sí,Usen les IA com expert a qui preguntar,Sí,Sí,Usen les IA com expert a qui preguntar,1,7,2,Superar-les,Un fet negatiu,Sobrepassat/da,M'he autoformat,4
43,Altres,Belles Arts,Menys de 5 anys,Agregat/da,Presencial i virtual,Bon coneixement,No hi ha una normativa o orientació,No,Tinc un interès moderat,D'acord,En desacord,Molt d'acord,D'acord,Preparar i planificar les classes,Anàlisi de textos,Situacions d'aprenentatge,Diàriament,Mai,No,Per fer resums de llibres o articles,Sí,No,Per fer resums de llibres o articles,9,3,2,Prohibir-les,Un fet negatiu,Analfabet/ta,No tinc cap formació,1
55,Prefereixo no contestar,Belles Arts,Entre 5 i 10 anys,Agregat/da,Únicament virtual,Poc coneixement,No hi ha una normativa o orientació,Si,Tinc poc interès,En desacord,Molt d'acord,En desacord,D'acord,Avaluar tasques,Anàlisi de textos,Vídeos,Mai,Mai,No,Per fer resums de llibres o articles,No,No,Usen les IA perquè els hi faci treballs o tasques,2,9,2,altres ...,Un fet negatiu,Engrescat/da,He rebut una formació al meu departament o facultat,3
50,Prefereixo no contestar,Belles Arts,Més de 20 anys,PreDoc,Únicament virtual,Coneixement expert,Desconec si hi ha una normativa o orientació,No,Tinc un interès moderat,Molt en desacord,Molt en desacord,En desacord,D'acord,Avaluar processos,Visualització de dades,Mapes conceptuals o esquemes,Mai,Esporàdicament,No,Per fer resums de llibres o articles,Sí,Sí,altres ...,3,5,1,Prohibir-les,Un fet negatiu,Més productiu/va,He rebut una formació fora de la UB,5
61,Prefereixo no contestar,Belles Arts,Menys de 5 anys,Titular,Presencial i virtual,Cap coneixement,Desconec si hi ha una normativa o orientació,Si,Tinc poc interès,D'acord,En desacord,Molt en desacord,Molt en desacord,Avaluar tasques,No en faig servir,Vídeos,Esporàdicament,Setmanalment,Sí,altres ...,No,Sí,Usen les IA perquè els hi faci treballs o tasques,4,2,2,Prohibir-les,Un fet positiu,Més productiu/va,He estat o sóc formador/a d'IA,1
37,Altres,Belles Arts,Menys de 5 anys,Catedràtic/a,Únicament presencial,Poc coneixement,Desconec si hi ha una normativa o orientació,Si,Tinc molt d'interès,En desacord,En desacord,D'acord,En desacord,Avaluar tasques,Anàlisi de textos,Situacions d'aprenentatge,Setmanalment,Diàriament,No,altres ...,Sí,Sí,Per fer resums de llibres o articles,1,2,3,Evitar-les,Un fet negatiu,Motivat/da,No tinc cap formació,6
27,Altres,Belles Arts,Entre 10 i 20 anys,Catedràtic/a,Presencial i virtual,Poc coneixement,Desconec si hi ha una normativa o orientació,Si,Tinc molt d'interès,Molt d'acord,En desacord,Molt en desacord,Molt en desacord,No en faig servir,No en faig servir,Situacions d'aprenentatge,Setmanalment,Mai,No,Usen les IA per practicar o auto-avaluar-se,Sí,Sí,Per fer resums de llibres o articles,7,9,3,Integrar-les,Un fet negatiu,Sobrepassat/da,He rebut una formació fora de la UB,7
42,No binari,Belles Arts,Més de 20 anys,Catedràtic/a,Presencial i virtual,Bon coneixement,Desconec si hi ha una normativa o orientació,No,Tinc poc interès,Molt en desacord,En desacord,Molt en desacord,Molt en desacord,Crear activitats d'aprenentatge,Recollir dades,Vídeos,Diàriament,Mai,Sí,Usen les IA perquè els hi faci treballs o tasques,Sí,Sí,altres ...,6,6,1,Evitar-les,Un fet positiu,Motivat/da,He estat o sóc formador/a d'IA,1
